,Unnamed: 0,row,set,Start_Lat,Start_Lng,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Severity,Temperature(F),WindChill(F),Humidity(%),Pressure(in),Visibility(mi),WindSpeed(mph),Precipitation(in),Duration_hours,Rain_Event,Snow_Event,Fog_Event,Thunderstorm_Event,Hail_Event,Tornado_Event
22,22,255,0,0.6984105625667937,1.0853556564188602,-0.3142061895631977,-0.7066210688476964,-0.4326667739347779,0.1037740961307769,-1.4555799416646498,-1.3136494210474905,-1.210880886656743,-0.2206028388467066,1.214947184618295,0.4565017600722513,-0.1893333491711743,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
23,23,255,0,0.6701937637518157,1.0780585227281323,-0.6232700409466707,-0.7066210688476964,-0.6623946162169881,1.3898404012085974,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,-0.4272776262646454,0.0,0.0,0.0,0.0,0.0,0.0
24,24,255,0,0.6711680130656804,1.078647324163339,-0.5991871179585403,-0.7066210688476964,-0.6623946162169881,1.3898404012085974,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.0085069060422145,0.0,0.0,0.0,0.0,0.0,0.0
25,25,255,0,0.6716968419591338,1.0807755529745122,0.5327090662730984,-0.7066210688476964,1.1754281220406937,1.3898404012085974,-0.1468592457865423,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
26,26,255,0,0.6794200830756706,1.078446595078628,0.6892478503780575,-0.7066210688476964,-0.4326667739347779,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,-0.4174338537610726,0.0,0.0,0.0,0.0,0.0,0.0
27,27,255,0,0.6841914312209549,1.0912225444567052,0.2517419025526217,-0.7066210688476964,-0.2029389316525677,0.1037740961307769,-1.4555799416646498,-1.3136494210474905,-1.210880886656743,-0.2206028388467066,1.214947184618295,0.4565017600722513,-0.1893333491711743,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
28,28,255,0,0.4140779807338432,1.051112461830988,0.4725017827269822,-0.7066210688476964,0.4862445951940629,1.3898404012085974,-0.1468592457865423,-1.7691197792851208,-1.8260007976817936,0.9016624899407456,1.0436998722567372,0.4565017600722513,-0.38929137935226,-0.1028233879668304,1.1336634421590712,0.0,0.0,0.0,0.0,0.0,0.0
29,29,255,0,0.669437335185944,1.087176593386811,0.0430234599481162,-0.7066210688476964,0.2565167529118527,1.3898404012085974,-0.1468592457865423,-1.566688508957285,-1.434560854302216,0.3629751321227686,1.2320719158544542,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
30,30,255,0,0.6708132873757271,1.0774280506566096,-0.0211975404244459,-0.7066210688476964,-0.4326667739347779,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
31,31,255,0,0.6808215371664068,1.0789341880828938,-0.434620660958591,-0.7066210688476964,-0.6623946162169881,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,0.4220993154722239,0.0,0.0,0.0,0.0,0.0,0.0
